切れる踏切と	断掉的平交道
はずれも悪くはないかな	即使错了也没什么
stayしそうなイメージを染めた	一直停留在印象中的
ぎこちない翼でも	即使是沉重的翅膀
きっと飛べるさ	也一定会展翅飞翔
無限大な夢のあとの	和田光司在无限延伸的梦想后面
何もない世の中じゃ	穿越冷酷无情的世界
そうさ愛しい	不想要输给自己
想いも負けそうになるけど	有你的美丽记忆会让我更加努力
stayしがちなイメージだらけの	相信希望有天会实现
頼りない翼でも	就算是不可靠的翅膀
きっと飛べるさ	也一定能飞翔
無限大な夢のあとの	在无限延伸的梦想后面
やるせない世の中じゃ	纵然世界再虚假多变
そうさ常識	不应该隐瞒欺骗
はずれも悪くはないかな	抱着得过且过的想法太可怜
stayしそうなイメージを染めた	相信希望有天会实现
ぎこちない翼でも	就算是不可靠的翅膀
きっと飛べるさ	也一定能飞翔
ゴキゲンな蝶になって	八神太一好想化做一只蝴蝶
きらめく風に乗って	望月芽心乘着微风振翅高飞
今すぐ	城户丈武之内空现在马上
キミに会いに行こう	只想赶快和你见面
余計な事なんて	八神光烦心的事放在一边
忘れた方がマシさ	泉光子郎如果忘记那也无所谓
これ以上	高石岳 太刀川美美已经没有
シャレてる時間はない	多余时间可以浪费
何がwow wow	武之内空石田大和似乎有 wow wow
この空に届くのだろう	城户丈什麼事会在这片晴空下出现
だけどwow wow	太刀川美美石田大和就算是 wow wow
明日の予定もわからない	高石岳面对未知的明天也要勇敢的去冒险
無限大な夢のあとの	八神太一在无限延伸的梦想后面
何もない世の中じゃ	石田大和穿越冷酷无情的世界
そうさ愛しい	武之内空不想要输给自己
想いも負けそうになるけど	武之内空泉光子郎有你的美丽记忆会让我更加努力
stayしがちなイメージだらけの	城户丈相信希望有天会实现
頼りない翼でも	望月芽心就算是不可靠的翅膀
きっと飛べるさ	太刀川美美也一定能飞翔
ウカレタ蝶になって	aim仿佛蝴蝶展开双翼
一途な風に乗って	宫崎步 一路迎着微风飞行
どこまでも	八神太一八神光直到我和你
キミに会いに行こう	约定相见不再分离
曖昧な言葉って	宫崎步对你倾吐我的心意
意外に便利だって	aim没想到你真的愿意
叫んでる	高石武望月芽心陪着我一起
ヒットソング聴きながら	沉醉在幸福的旋律
何がwow wow	八神太一石田大和好像有wow wow
この街に響くのだろう	城户丈什么声音悄悄从这街角响起
だけどwow wow	高石岳石田大和而现在wow wow
期待してても仕方ない	泉光子郎不想再空等让憧憬变成泡影
無限大な夢のあとの	武之内空在无限延伸的梦想后面
やるせない世の中じゃ	石田大和纵然世界再虚假多变
そうさ常識	高石岳不应该隐瞒欺骗
はずれも悪くはないかな	高石岳望月芽心抱着得过且过的想法太可怜
stayしそうなイメージを染めた	太刀川美美相信希望有天会实现
ぎこちない翼でも	八神光真心能度过重重考验
きっと飛べるさ	泉光子郎朝着梦勇往直前
無限大な夢のあとの	宫崎步在无限延伸的梦想后面
何もない世の中じゃ	穿越冷酷无情的世界
そうさ愛しい	aim不想要输给自己
想いも負けそうになるけど	有你的美丽记忆会让我更加努力
stayしがちなイメージだらけの	宫崎步aim相信爱永远不会止息
頼りない翼でも	即使偶尔会遇上难题
きっと飛べるさ	宫崎步aim和田光司一定能化险为夷
無限大な夢のあとの	全员在无限延伸的梦想后面
やるせない世の中じゃ	纵然世界再虚假多变
そうさ常識	不应该隐瞒欺骗
はずれも悪くはないかな	抱着得过且过的想法太可怜
stayしそうなイメージを染めた	相信希望有天会实现
ぎこちない翼でも	真心能度过重重考验
きっと飛べるさ	朝着梦勇往直前
ゴキゲンな蝶になって	想变成快乐的的蝴蝶
 きらめく風に乗って	乘上闪着光的风
 今すぐ	现在马上
 キミに會いに行こう	出发去与你相见
 余計な事なんて	多余的事情
 忘れた方がマシさ	还是都忘记吧
 これ以上	到底为止
 シャレてる時間はない	已经没有多余的时间可以浪费
 何が	有什么
 この空に屆くのだろう	能够到达那片天空的对吧
 明日の予定もわからない	就连明天的计划都还是未知
 無限大な夢のあとの	在无限大的梦想之后
 何もない世の中じゃ	是空无一物的世界
 そうさ愛しい	是啊 如此可怜
 想いも負けそうになるけど	好像连思念也快要被击垮一样
 stayしがちなイメージだらけの	就算这双有些倾斜有些稚嫩
 頼りない翼でも	还有些无法依靠的翅膀
 きっと飛べるさ	也一定能展翅高飞
 ウカレタ蝶になって	成为漂浮的蝴蝶
 一途な風に乗って	乘着一心一意的风
 どこまでも	无论是什么地方
 キミに會いに行こう	都会去与你相见
 曖昧な言葉って	暧昧的话语
 意外に便利だって	意外的方便
 叫んでる	叫喊着
 ヒットソング聴きながら	一边听着热门的歌
 何が	有什么
 この街に響くのだろう	会在这街道上回响
 期待してても仕方ない	就算期待也没有办法
 無限大な夢のあとの	在无限大的梦想之后
 やるせない世の中じゃ	是闷闷不乐的世界
 そうさ常識	这已经是常识了
 はずれも悪くないかな	所以就算没有达到也没没什么大不了
 stayしそうなイメージを染めた	就算这双有些倾斜有些稚嫩
 ぎこちない翼でも	有些笨拙的翅膀
 きっと飛べるさ	也一定能展翅高飞
 無限大な夢のあとの	在无限大的梦想之后
 何もない世の中じゃ	是空无一物的世界
 そうさ愛しい	是啊 如此可怜
 想いも負けそうになるけど	好像连思念也快要被击垮一样
 stayしがちなイメージだらけの	就算这双有些倾斜有些稚嫩
 頼りない翼でも	还有些无法依靠的翅膀
 きっと飛べるさ	也一定能展翅高飞
 無限大な夢のあとの	在无限大的梦想之后
 やるせない世の中じゃ	是闷闷不乐的世界
 そうさ常識	这已经是常识了
 はずれも悪くないかな	所以就算没有达到也没没什么大不了
 stayしそうなイメージを染めた	就算这双有些倾斜有些稚嫩
 ぎこちない翼でも	有些笨拙的翅膀
 きっと飛べるさ	也一定能展翅高飞
フライパンの上で	在平底锅的上面
バター とけるように	黄油好像要融化了
あなたの胸で ねむる	在你的怀抱中安睡
細くみえた腕 ゆだねてみれば	靠着你纤细的手臂
やっぱり オトコなところが いいね	果然还是男生的那里好啊
カラダが 別々で	身体虽然有不同的地方
もったいないじゃない	却不必太过可惜
いっそ ひとつに なっちゃえば	不如我们就变成一体吧
ずっと いっしょに いられるのに	我们一直都要在一起
あなたになりたいな	我想成为你
長いまつげが すき	喜欢你那长长的睫毛
瞳の星 まわるよ	眼睛里的小星星转个不停
永遠に おちてゆけ	就这样到永远
首すじを つたって	歪了歪脖子
口に もぐりこんだ	滑入了你的口中
愛と孤独 より添って 涙	爱要比孤独多几分泪水
フライパンの上で	在平底锅的上面
バター とけるように	黄油好像要融化了
あなたの奥へ 沁みこむ	想沁入你的内心
おおげさなこと なにも 望まない	也不期望很大的惊喜
だから もうすこしだけ いいね	所以就再多一点好吧
カラダで おぼえちゃって	用身体去记住我
ほっとけないでしょう	别把我置之不理
いっそ 心まで ゆるして	我的心里已经原谅你了
もっと いっしょに	要跟你更多的在一起
笑いあおうよ	和你一起笑
あなたになりたいな	我想成为你
長いまつげが すき	喜欢你那长长的睫毛
瞳の星 まわるよ	眼睛里的小星星转个不停
永遠に おちてゆけ	就这样到永远
首すじを つたって	歪了歪脖子
口に もぐりこんだ	滑入了你的口中
愛と孤独 より添って 涙	爱要比孤独多几分泪水
愛と孤独 より添って 涙	爱要比孤独多几分泪水
何もせずに今は	现在什么都不用做
言葉も要らないから	不需要任何言语
笑顔見せてよ	就给我你的笑容吧
本当に君なのか	难道真的是你吗
全てが夢の様さ	这一切好似梦境
まだ覚めないで	请不要把我唤醒
焦がれて怖くなる	憧憬过后变得害怕
そばにいてずっと	请一直在我身边
僕の為ずっと	请一直为了我
遠くなりそうで 逃げそうで	眼看越来越远 眼看就要逃离
怖い位辛い	让我难受到害怕
このままずっと	就这样不要改变
時間よ止まって	时间啊 停下来吧
君が離れて	你离我而去
恋しくて	让人眷恋
怖い位辛い	我难受到害怕
舞うbutterfly	飞舞的蝴蝶
butterflyの様	像蝴蝶一样
舞うbutterfly butterflyの様	飞舞的蝴蝶 像蝴蝶一样
君は butterfly	你是一只蝴蝶
眺めていたい	只想注视着你
触れると飛んでいきそう	仿佛一触碰就会要飞走
紺碧の空隠す闇や雨にも	哪怕是隐藏在蔚蓝天空中黑暗和雨水
君がいれば負けないさ anymore	只要有你在 我就不会再向它屈服
まるで春風の様さ	就像那春风一样
そっと頬なでる様さ	仿佛轻抚过脸颊
